Curve: DEPT, Unit: FT, Description: DEPTH
Curve: GR, Unit: API, Description: GR
Curve: NEU, Unit: API, Description: NEU
Curve: DCAL, Unit: IN, Description: CDL Caliper
Curve: DPOR, Unit: PU, Description: CDL Density Porosity
Curve: NPOR, Unit: PU, Description: Neutron Porosity
Curve: RHOC, Unit: G/CC, Description: CDL Density Correction
Curve: RILD, Unit: OHM-M, Description: DIL Deep Resistivity
Curve: RILM, Unit: OHM-M, Description: DIL Medium Resistivity
Curve: RLL3, Unit: OHM-M, Description: DIL Shallow Resistivity
Curve: SP, Unit: MV, Description: DIL Spontaneous Potential
Curve: AVTX, Unit: FT3, Description: Annular Volume Ticks
Curve: BVTX, Unit: FT3, Description: Borehole Volume Ticks
Curve: CILD, Unit: MMHO/M, Description: DIL Deep Conductivity
Curve: CNDL, Unit: PU, Description: CN Dolomite Porosity
Curve: CNLS, Unit: PU, Description: CN Limestone Porosity
Curve: CNPOR, Unit: PU, Description: CN Selected Porosity
Curve: CNSS, Unit: PU, Description: CN Sandstone Porosity
Curve: LSPD, Unit: FT/MIN, Description: Line Speed
Curve: LTEN, Unit: LB, Description: Surface Line Tension
Curve: RHOB, Unit: G/CC, Description: CDL Bulk Density
Curve: RXORT, Unit: , Description: Rxo / Rt
Curve: ABHV, Unit: FT3, Description: Annular Borehole Volume
Curve: MN, Unit: OHM-M, Description: Micro Normal Resistivity
Curve: MI, Unit: OHM-M, Description: Micro Inverse Resistivity
Curve: MCAL, Unit: IN, Description: Caliper from Microlog
Curve: TBHV, Unit: ft3, Description: 
Curve: SWNC, Unit: cps, Description: 
Curve: SCAL, Unit: in, Description: 
Curve: SWPOR, Unit: pu, Description: 
Curve: SWLS, Unit: pu, Description: 
Curve: SWSS, Unit: pu, Description: 
Curve: SWDL, Unit: pu, Description: 
Curve: LGRD, Unit: Ohm-m, Description: 
Curve: NPHI, Unit: V/V, Description: NEUTRON POROSITY
Curve: DGA, Unit: G/CC, Description: 
Curve: DT, Unit: USEC/FT, Description: 
Curve: ITT, Unit: MSEC, Description: 
Curve: SPOR, Unit: PU, Description: 
Curve: MEL15, Unit: Ohm-m, Description: Microlog
Curve: MEL20, Unit: Ohm-m, Description: Microlog
Curve: MELCAL, Unit: in, Description: Micro Caliper
Curve: DEPTH, Unit: FT, Description: Depth
Curve: ILD, Unit: OHM-M, Description: Deep Induction Resistivity
Curve: DPHI, Unit: PU, Description: Density porosity
Curve: GR:1, Unit: API, Description: Gamma Ray
Curve: GR:2, Unit: API, Description: Gamma Ray
Curve: GSXT, Unit: DEGF, Description: MGS External Temperature
Curve: IECX, Unit: IN, Description: MIE Caliper X
Curve: IECY, Unit: IN, Description: MIE Caliper Y
Curve: NPRL, Unit: PERC, Description: Limestone Neutron Por.
Curve: CLDC, Unit: IN, Description: Density Caliper
Curve: DCOR, Unit: G/C3, Description: Density Correction
Curve: DEN, Unit: G/C3, Description: Compensated Density
Curve: PDPE, Unit: B/E, Description: PE
Curve: DPRL, Unit: PERC, Description: Limestone Density Por.
Curve: GGME, Unit: GAPI, Description: Borehole Corr. MGS Gamma
Curve: CTAS, Unit: MMHO, Description: Array Ind. Six Cond Ct
Curve: R20S, Unit: OHMM, Description: Array Ind. Six Res 20
Curve: R30S, Unit: OHMM, Description: Array Ind. Six Res 30
Curve: R40S, Unit: OHMM, Description: Array Ind. Six Res 40
Curve: R60S, Unit: OHMM, Description: Array Ind. Six Res 60
